,Date,ACC Ltd.,Adani Enterprises Ltd.,Adani Green Energy Ltd.,Adani Ports and Special Economic Zone Ltd.,Adani Transmission Ltd.,Ambuja Cements Ltd.,Apollo Hospitals Enterprise Ltd.,Asian Paints Ltd.,Aurobindo Pharma Ltd.,Avenue Supermarts Ltd.,Axis Bank Ltd.,Bajaj Auto Ltd.,Bajaj Finance Ltd.,Bajaj Finserv Ltd.,Bajaj Holdings & Investment Ltd.,Bandhan Bank Ltd.,Bank of Baroda,Berger Paints India Ltd.,Bharat Petroleum Corporation Ltd.,Bharti Airtel Ltd.,Biocon Ltd.,Bosch Ltd.,Britannia Industries Ltd.,Cadila Healthcare Ltd.,Cholamandalam Investment and Finance Company Ltd.,Cipla Ltd.,Coal India Ltd.,Colgate Palmolive (India) Ltd.,DLF Ltd.,Dabur India Ltd.,Divi's Laboratories Ltd.,Dr. Reddy's Laboratories Ltd.,Eicher Motors Ltd.,GAIL (India) Ltd.,Gland Pharma Ltd.,Godrej Consumer Products Ltd.,Grasim Industries Ltd.,HCL Technologies Ltd.,HDFC Asset Management Company Ltd.,HDFC Bank Ltd.,HDFC Life Insurance Company Ltd.,Havells India Ltd.,Hero MotoCorp Ltd.,Hindalco Industries Ltd.,Hindustan Petroleum Corporation Ltd.,Hindustan Unilever Ltd.,Housing Development Finance Corporation Ltd.,ICICI Bank Ltd.,ICICI Lombard General Insurance Company Ltd.,ICICI Prudential Life Insurance Company Ltd.,ITC Ltd.,Indian Oil Corporation Ltd.,Indraprastha Gas Ltd.,Indus Towers Ltd.,IndusInd Bank Ltd.,Info Edge (India) Ltd.,Infosys Ltd.,InterGlobe Aviation Ltd.,JSW Steel Ltd.,Jindal Steel & Power Ltd.,Jubilant Foodworks Ltd.,Kotak Mahindra Bank Ltd.,Larsen & Toubro Infotech Ltd.,Larsen & Toubro Ltd.,Lupin Ltd.,Mahindra & Mahindra Ltd.,Marico Ltd.,Maruti Suzuki India Ltd.,Muthoot Finance Ltd.,NMDC Ltd.,NTPC Ltd.,Nestle India Ltd.,Oil & Natural Gas Corporation Ltd.,PI Industries Ltd.,Pidilite Industries Ltd.,Piramal Enterprises Ltd.,Power Grid Corporation of India Ltd.,Procter & Gamble Hygiene & Health Care Ltd.,Punjab National Bank,Reliance Industries Ltd.,SBI Cards and Payment Services Ltd.,SBI Life Insurance Company Ltd.,Shree Cement Ltd.,Siemens Ltd.,State Bank of India,Steel Authority of India Ltd.,Sun Pharmaceutical Industries Ltd.,Tata Consultancy Services Ltd.,Tata Consumer Products Ltd.,Tata Motors Ltd.,Tata Steel Ltd.,Tech Mahindra Ltd.,Titan Company Ltd.,Torrent Pharmaceuticals Ltd.,UPL Ltd.,UltraTech Cement Ltd.,United Spirits Ltd.,Vedanta Ltd.,Wipro Ltd.,Yes Bank Ltd.
0,Dec 2021,2262.2,1708.1,1389.65,737.45,1868.3,376.6,5432.4,3110.45,674.15,4799.05,673.0,3287.85,7069.25,17488.7,5423.7,277.3,43.87,729.95,385.9,718.35,366.85,16500.2,3553.75,460.45,567.85,912.05,159.75,1450.05,386.2,581.35,4757.05,4596.5,2455.55,132.25,3649.3,913.1,1703.9,1171.4,2579.35,1513.55,690.95,1383.25,28.32,424.65,298.5,2343.65,2771.65,716.3,1449.4,603.35,221.65,122.2,505.8,34579.55,951.15,4.85,1735.55,1875.65,40.9,359.45,3800.55,1914.2,6848.85,1801.25,873.0,1914.2,531.75,7208.7,1482.55,145.95,127.0,19321.35,69.88,70.51,2208.45,2528.05,206.1,15123.3,38.5,2408.25,990.25,1165.95,25914.05,2185.85,473.15,104.0,751.8,3640.45,774.3,480.1,1118.0,1593.3,2369.25,2981.8,712.75,7332.45,895.15,337.3,640.75,12.55
1,Nov 2021,2286.4,1662.85,1295.4,683.85,1799.5,374.6,5687.75,3143.65,660.25,4710.9,655.65,3240.3,6997.25,17237.35,5037.8,272.45,44.47,751.75,368.7,728.25,360.4,16168.5,3545.5,465.25,550.5,971.3,152.0,1434.35,374.8,594.95,4878.8,4675.85,2370.45,129.8,3585.35,923.1,1662.45,1138.65,2511.3,1493.55,680.8,1360.35,29.5,412.75,295.1,2317.55,2673.1,714.35,1437.35,593.05,221.15,118.95,484.25,34484.18,883.0,4.8,1712.65,1905.05,41.1,343.55,3651.0,1961.9,6809.7,1764.75,884.4,1961.9,538.35,7067.8,1426.2,132.85,127.25,19152.55,70.57,74.97,2205.85,2418.35,206.75,15040.1,37.3,2405.4,950.5,1160.55,26102.25,2151.9,460.55,100.05,753.6,3529.15,778.6,458.6,1071.2,1541.45,2375.5,3042.05,681.7,7433.75,882.95,338.85,637.25,12.4
2,Oct 2021,2333.4,1423.6,1152.85,693.0,1767.4,404.8,4262.05,3100.1,689.35,4635.45,742.0,3707.25,7400.2,17821.15,4829.7,291.45,47.78,741.5,417.7,685.35,351.1,16952.3,3675.75,502.8,614.75,905.05,164.45,1542.6,398.6,585.85,5150.15,4659.2,2484.8,148.85,3700.2,956.65,1721.1,1143.75,2647.2,1582.85,680.45,1262.95,29.5,459.8,310.4,2393.15,2844.7,802.05,1481.55,618.4,223.2,127.95,473.9,35819.59,1140.2,5.3,1667.75,2175.2,51.8,417.3,3689.3,2031.15,6682.3,1766.65,922.9,2031.15,568.45,7482.4,1467.75,143.15,132.65,19000.15,84.38,69.72,2313.65,2601.75,185.05,14227.85,42.1,2536.25,1055.1,1145.55,28635.25,2186.65,502.15,115.1,795.0,3397.75,809.5,483.7,1315.95,1477.85,2383.55,2860.4,740.2,7636.05,947.35,304.0,646.75,12.8
3,Sep 2021,2254.5,1468.1,1146.6,737.9,1558.5,400.2,4481.6,3244.65,724.8,4250.2,766.55,3832.65,7668.1,17786.75,4808.6,283.0,42.45,809.0,432.2,688.3,362.7,15474.5,3948.95,551.85,564.25,983.55,185.1,1669.5,417.2,617.05,4798.7,4880.7,2790.2,158.85,3719.9,1029.9,1669.45,1279.55,2908.6,1594.95,722.4,1373.1,28.02,487.95,300.0,2701.8,2754.3,700.85,1589.5,671.85,236.15,125.3,533.1,33843.33,1111.9,3.2,1675.2,2021.7,55.74,389.25,4040.9,2005.5,5765.15,1702.95,951.6,2005.5,547.5,7338.05,1450.3,143.0,141.85,19445.55,78.52,57.13,2381.95,2595.8,189.9,14073.8,40.1,2519.25,1029.6,1215.1,28901.55,2129.4,453.0,113.65,818.25,3775.55,813.6,333.35,1288.9,1380.6,2161.85,3085.5,707.7,7396.1,853.1,287.65,634.1,12.55
4,Aug 2021,2413.2,1587.6,1068.35,748.3,1580.6,421.05,4969.55,3201.35,727.3,3954.8,786.5,3727.85,7524.5,17148.75,4356.75,285.0,41.75,820.8,437.96,651.81,358.85,13859.2,3997.5,554.15,554.05,947.8,145.85,1693.3,320.55,621.5,5173.6,4704.05,2679.25,146.15,3893.9,1099.3,1500.4,1182.3,3074.3,1581.4,717.75,1268.45,30.37,468.3,266.6,2724.1,2798.5,719.05,1594.6,659.1,211.3,110.85,545.85,35360.73,992.4,4.75,1706.45,1904.15,40.34,376.95,3995.0,1753.7,5312.45,1672.2,957.85,1753.7,544.45,6846.1,1514.0,154.05,115.95,19467.75,72.99,58.29,2280.35,2606.65,175.35,13873.6,36.65,2258.15,1140.55,1192.05,28287.9,2272.4,426.05,121.6,794.05,3786.45,864.95,287.3,1450.25,1447.65,1921.6,3105.9,741.25,7832.45,715.15,302.8,640.95,10.8
5,Jul 2021,2394.1,1420.25,882.3,674.5,893.45,411.15,4035.0,2958.45,916.6,3500.8,708.9,3829.6,6228.1,14222.2,4023.05,291.25,38.36,843.55,413.68,551.3,386.35,14968.25,3423.4,586.1,475.75,920.05,143.3,1704.4,337.65,600.7,4906.1,4711.2,2530.25,139.55,3930.45,987.8,1551.35,1024.95,2854.15,1426.45,664.05,1173.65,30.48,444.8,261.15,2333.3,2441.15,682.5,1475.75,632.95,204.95,103.15,557.75,34935.47,981.0,5.5,1610.5,1647.35,34.8,431.75,3775.15,1654.8,4684.35,1601.45,1107.4,1654.8,546.7,6977.7,1554.75,181.2,118.2,17702.65,76.33,46.0,2278.8,2318.6,171.15,12680.6,39.5,2035.3,1036.75,1098.6,28265.75,1953.2,431.8,142.05,773.95,3167.45,756.25,293.95,1434.3,1209.55,1714.55,3071.1,808.55,7619.2,640.75,301.85,587.15,12.75
6,Jun 2021,2014.8,1507.55,1124.9,703.7,1059.45,340.65,3619.85,2992.7,965.2,3344.1,748.3,4133.85,6015.85,12109.05,3614.25,330.25,41.23,805.1,434.66,515.96,404.45,15025.15,3649.65,645.2,513.25,971.9,146.65,1685.8,281.1,568.75,4408.25,5423.05,2671.15,149.65,3424.3,870.25,1498.75,983.5,2917.45,1497.9,686.3,980.2,32.31,372.05,293.2,2471.3,2475.25,630.9,1567.0,612.7,202.7,107.9,557.75,34502.51,1016.35,4.25,1580.8,1716.95,35.22,397.45,3080.2,1705.85,4071.3,1500.55,1149.1,1705.85,530.8,7515.9,1481.65,184.1,116.4,17633.0,75.13,51.59,2153.95,2398.25,174.3,13307.1,42.3,2110.65,970.4,1008.15,27504.6,2021.05,419.2,130.6,675.45,3345.75,754.4,339.6,1166.6,1095.45,1732.5,2901.6,792.85,6776.0,661.65,262.85,545.65,13.55
7,May 2021,1986.05,1316.3,1268.2,769.55,1473.6,326.8,3168.75,2977.5,997.95,3069.4,750.7,4192.8,5627.95,11806.3,3550.45,307.4,42.39,805.55,438.29,525.04,388.2,15256.5,3447.85,618.3,549.3,949.35,147.7,1720.45,288.45,540.45,4194.0,5309.15,2676.15,159.95,3153.85,856.55,1471.2,945.2,2982.15,1515.85,665.9,1030.8,32.41,394.25,279.7,2340.05,2552.85,662.75,1471.9,554.25,216.6,109.25,528.85,34529.45,1013.0,4.55,1393.75,1758.9,36.49,407.2,3111.2,1807.7,3942.4,1467.7,1219.5,1807.7,475.2,7086.3,1311.6,182.15,110.5,17695.55,69.32,52.05,2090.55,1816.2,169.24,13127.45,42.4,2160.3,1045.0,975.65,27578.0,2086.3,424.35,126.6,668.3,3159.15,663.85,318.75,1125.65,1021.65,1596.25,2741.35,815.1,6708.0,612.45,274.2,539.05,13.5
8,Apr 2021,1882.75,1158.7,1018.95,730.05,1049.9,309.05,3197.5,2536.4,980.85,2852.9,714.9,3833.75,5451.9,11041.65,3421.2,329.75,40.53,704.0,391.67,526.86,379.65,13509.0,3436.24,571.15,571.75,910.35,133.05,1481.9,247.3,538.05,4062.35,5163.1,2421.65,137.2,2781.55,691.75,1401.75,898.95,2776.35,1412.3,665.1,990.25,32.41,364.4,234.65,2353.75,2420.1,600.5,1414.0,521.95,202.6,90.85,508.95,33874.85,934.95,3.8,1354.35,1643.4,30.3,441.5,2891.7,1748.8,3890.25,1340.45,1069.5,1748.8,411.45,6455.65,1157.4,155.75,102.45,16309.25,67.25,47.46,1815.8,1680.2,165.04,13400.92,34.85,1994.5,984.2,928.7,27910.5,1881.45,353.5,119.5,654.45,3035.65,669.5,293.85,1034.0,960.4,1491.65,2509.25,606.9,6278.95,519.55,257.25,492.75,14.55
9,Mar 2021,1903.25,1031.15,1104.85,702.4,908.4,308.85,2902.65,2537.4,881.3,2859.05,697.45,3670.6,5149.85,9668.6,3293.05,338.9,38.69,765.0,397.38,507.77,408.9,14088.4,3611.64,440.9,558.8,815.1,130.35,1559.35,287.05,540.5,3622.8,4516.0,2603.95,135.5,2478.3,729.65,1450.55,972.01,2919.0,1493.65,696.2,1050.4,31.42,326.85,234.5,2431.5,2498.1,582.1,1433.2,445.6,218.5,91.85,512.35,32981.55,954.45,3.0,1368.05,1631.95,29.58,343.6,2910.95,1753.0,4054.3,1418.9,1020.45,1753.0,411.3,6859.2,1205.9,135.35,106.55,17165.2,63.54,56.87,1809.4,1753.15,161.74,12540.84,36.65,2003.1,928.25,880.85,29465.4,1844.0,364.3,78.8,597.8,3177.85,638.9,301.8,811.85,991.45,1558.05,2545.05,641.85,6737.95,556.35,228.75,414.15,15.6
10,Feb 2021,1733.2,833.65,1159.85,675.9,750.0,273.5,3058.65,2277.2,855.2,2994.2,724.8,3798.7,5264.9,9648.6,3630.2,345.25,34.71,679.85,417.72,546.05,390.2,14854.9,3351.31,435.2,518.9,787.05,152.2,1581.2,302.5,503.1,3363.1,4426.55,2498.6,141.8,2401.65,686.4,1200.8,899.6,2937.0,1534.4,700.65,1105.55,32.65,340.25,242.45,2132.05,2539.4,597.75,1426.0,461.55,203.85,98.05,491.95,30932.37,1062.95,4.15,1253.3,1619.95,35.28,335.9,2994.9,1780.35,3599.85,1442.5,1018.35,1780.35,397.55,6866.15,1299.7,127.0,107.3,16101.6,66.13,63.97,1685.95,1829.25,160.73,12778.37,40.85,2085.8,1068.6,866.9,26501.7,1850.0,390.15,76.55,594.6,2894.3,609.15,322.95,715.15,918.85,1406.9,2428.2,561.55,6115.0,535.1,207.3,410.3,15.75
